Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  331 | loss -0.0417 | reward 0.069 | solved   0.0%
step  332 | loss +0.0185 | reward 0.112 | solved   6.2%
step  333 | loss +0.0579 | reward 0.066 | solved   0.0%
step  334 | loss +0.0111 | reward 0.141 | solved   6.2%
step  335 | loss +0.0994 | reward 0.062 | solved   0.0%
step  336 | loss +0.1661 | reward 0.066 | solved   0.0%
step  337 | loss -0.0537 | reward 0.056 | solved   0.0%
step  338 | loss +0.5904 | reward 0.050 | solved   0.0%
step  339 | loss +0.0317 | reward 0.072 | solved   0.0%
step  340 | loss +0.0349 | reward 0.088 | solved   0.0%
step  341 | loss +0.0961 | reward 0.172 | solved  12.5%
step  342 | loss +0.0251 | reward 0.081 | solved   0.0%
step  343 | loss +0.0140 | reward 0.044 | solved   0.0%
step  344 | loss +0.0710 | reward 0.050 | solved   0.0%
step  345 | loss -0.0483 | reward 0.066 | solved   0.0%
step  346 | loss +0.0014 | reward 0.062 | solved   0.0%
step  347 | loss +0.0782 | reward 0.050 | solved   0.0%
step  348 | loss -0.0208 | reward 0.047 | solved   0.0%
step  349 | loss -0.0277 | reward 0.072 | solved   0.0%
step  350 | loss +0.0692 | reward 0.056 | solved   0.0%
step  351 | loss +0.0153 | reward 0.066 | solved   0.0%
step  352 | loss -0.0295 | reward 0.056 | solved   0.0%
step  353 | loss +0.0277 | reward 0.059 | solved   0.0%
step  354 | loss +0.0504 | reward 0.072 | solved   0.0%
step  355 | loss -0.0012 | reward 0.075 | solved   0.0%
step  356 | loss +0.0259 | reward 0.066 | solved   0.0%
step  357 | loss +0.3223 | reward 0.053 | solved   0.0%
step  358 | loss -0.0113 | reward 0.072 | solved   0.0%
step  359 | loss -0.0272 | reward 0.050 | solved   0.0%
step  360 | loss +0.0474 | reward 0.053 | solved   0.0%
step  361 | loss +0.1909 | reward 0.047 | solved   0.0%
step  362 | loss -0.0324 | reward 0.047 | solved   0.0%
step  363 | loss -0.0333 | reward 0.056 | solved   0.0%
step  364 | loss +0.0326 | reward 0.059 | solved   0.0%
step  365 | loss +0.0593 | reward 0.056 | solved   0.0%
step  366 | loss +0.0329 | reward 0.062 | solved   0.0%
step  367 | loss -0.0066 | reward 0.072 | solved   0.0%
step  368 | loss +0.3352 | reward 0.078 | solved   0.0%
step  369 | loss +0.0278 | reward 0.066 | solved   0.0%
step  370 | loss +0.5336 | reward 0.047 | solved   0.0%
step  371 | loss +0.0024 | reward 0.084 | solved   0.0%
step  372 | loss +0.1189 | reward 0.059 | solved   0.0%
step  373 | loss +0.0490 | reward 0.062 | solved   0.0%
step  374 | loss +0.0271 | reward 0.047 | solved   0.0%
step  375 | loss +0.0353 | reward 0.069 | solved   0.0%
step  376 | loss +0.0790 | reward 0.056 | solved   0.0%
step  377 | loss +0.0764 | reward 0.075 | solved   0.0%
step  378 | loss -0.0036 | reward 0.069 | solved   0.0%
step  379 | loss -0.0132 | reward 0.047 | solved   0.0%
step  380 | loss +0.0934 | reward 0.056 | solved   0.0%
step  381 | loss +0.0324 | reward 0.078 | solved   0.0%
step  382 | loss +0.0030 | reward 0.044 | solved   0.0%
step  383 | loss -0.0188 | reward 0.075 | solved   0.0%
step  384 | loss -0.0182 | reward 0.059 | solved   0.0%
step  385 | loss +0.0367 | reward 0.059 | solved   0.0%
step  386 | loss +0.6058 | reward 0.062 | solved   0.0%
step  387 | loss +0.0310 | reward 0.056 | solved   0.0%
step  388 | loss -0.0081 | reward 0.053 | solved   0.0%
step  389 | loss +0.0210 | reward 0.078 | solved   0.0%
step  390 | loss +0.0016 | reward 0.075 | solved   0.0%
step  391 | loss +0.0870 | reward 0.047 | solved   0.0%
step  392 | loss +0.0638 | reward 0.081 | solved   0.0%
step  393 | loss +0.0801 | reward 0.050 | solved   0.0%
step  394 | loss +0.0233 | reward 0.069 | solved   0.0%
step  395 | loss -0.0342 | reward 0.066 | solved   0.0%
step  396 | loss -0.0166 | reward 0.066 | solved   0.0%
step  397 | loss +0.0725 | reward 0.059 | solved   0.0%
step  398 | loss +0.0223 | reward 0.056 | solved   0.0%
step  399 | loss +0.4582 | reward 0.050 | solved   0.0%
  checkpoint saved -> model (step 400)
step  400 | loss +0.0334 | reward 0.056 | solved   0.0%
step  401 | loss +0.0388 | reward 0.075 | solved   0.0%
step  402 | loss +0.6260 | reward 0.047 | solved   0.0%
step  403 | loss +0.0195 | reward 0.059 | solved   0.0%
step  404 | loss +0.0598 | reward 0.044 | solved   0.0%
step  405 | loss +0.0422 | reward 0.041 | solved   0.0%
step  406 | loss +0.0040 | reward 0.066 | solved   0.0%
step  407 | loss +0.0208 | reward 0.059 | solved   0.0%
step  408 | loss +0.0199 | reward 0.062 | solved   0.0%
step  409 | loss -0.0181 | reward 0.075 | solved   0.0%
step  410 | loss +0.0361 | reward 0.056 | solved   0.0%
step  411 | loss +0.5455 | reward 0.088 | solved   0.0%
step  412 | loss -0.0334 | reward 0.056 | solved   0.0%
step  413 | loss +0.0237 | reward 0.053 | solved   0.0%
step  414 | loss +0.0436 | reward 0.056 | solved   0.0%
step  415 | loss +0.4595 | reward 0.053 | solved   0.0%
step  416 | loss +0.0125 | reward 0.059 | solved   0.0%
step  417 | loss +0.2320 | reward 0.062 | solved   0.0%
step  418 | loss +0.0835 | reward 0.134 | solved   6.2%
step  419 | loss -0.0340 | reward 0.047 | solved   0.0%
step  420 | loss +0.3794 | reward 0.066 | solved   0.0%
step  421 | loss +0.0026 | reward 0.072 | solved   0.0%
step  422 | loss +0.0380 | reward 0.053 | solved   0.0%
step  423 | loss +0.0997 | reward 0.075 | solved   0.0%
step  424 | loss +0.0681 | reward 0.069 | solved   0.0%
step  425 | loss +0.0034 | reward 0.050 | solved   0.0%
step  426 | loss -0.0166 | reward 0.075 | solved   0.0%
step  427 | loss +0.1372 | reward 0.078 | solved   0.0%
step  428 | loss +0.0256 | reward 0.053 | solved   0.0%
step  429 | loss -0.0190 | reward 0.053 | solved   0.0%
step  430 | loss +0.0572 | reward 0.072 | solved   0.0%
step  431 | loss +0.0561 | reward 0.062 | solved   0.0%
step  432 | loss +0.0389 | reward 0.109 | solved   6.2%
step  433 | loss +0.0272 | reward 0.072 | solved   0.0%
step  434 | loss +0.0352 | reward 0.078 | solved   0.0%
step  435 | loss -0.0141 | reward 0.084 | solved   0.0%
step  436 | loss +0.2802 | reward 0.059 | solved   0.0%
step  437 | loss -0.0189 | reward 0.050 | solved   0.0%
step  438 | loss -0.0072 | reward 0.066 | solved   0.0%
step  439 | loss -0.0202 | reward 0.056 | solved   0.0%
step  440 | loss +0.0451 | reward 0.056 | solved   0.0%
step  441 | loss +0.0450 | reward 0.081 | solved   0.0%
step  442 | loss +0.0103 | reward 0.069 | solved   0.0%
